63,2016-0085,1,2016-06-29,22,Avda Ite Francisco Rabanal & Avda Erezcano,Avenida,"Rabanal, Francisco, Intendente Av.",Erezcano,"Rabanal, Francisco, Intendente Av. Y Erezcano",comuna 4,Point (103621.92252760 96885.28433165),-58.42378834,-34.657341,Moto-Movil,Otro
64,2016-0086,1,2016-06-30,16,Av Olivera Y Ramon Falcon,Avenida,Olivera Av.,"Falcon, Ramon L.,Cnel.","Olivera Av. Y Falcon, Ramon L.,Cnel.",comuna 10,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,Peaton-Pasajeros,Pasajeros
65,2016-0087,1,2016-07-02,0,Autopista 1 Sur Pte Arturo Frondizi Y Av Caseros,Autopista,Autopista 1 Sur Presidente Arturo Frondizi,Sd,Autopista 1 Sur Presidente Arturo Frondizi Y Caseros Av.,comuna 1,Point (107762.62066736 100018.90176187),-58.37864583,-34.62907067,Moto-Objeto Fijo,Objeto Fijo
66,2016-0088,1,2016-07-11,15,Ceretti Y Nuñez,Calle,Ceretti,Nu?Ez,Ceretti Y Nuã‘Ez,comuna 12,Point (96492.89040317 106832.19475660),-58.5015175,-34.56767549,Peaton-Auto,Auto
67,2016-0089,1,2016-07-14,6,Av Lugones Y La Pampa,Autopista,"Lugones, Leopoldo Av.",La Pampa,"Lugones, Leopoldo Av. Y La Pampa",comuna 13,Point (102842.06561704 108587.10659007),-58.43233425,-34.55185825,Peaton-Auto,Auto
68,2016-0090,1,2016-07-14,22,Jeronimo Salguero Y Av Rivadavia,Avenida,"Salguero, Jeronimo",Rivadavia Av.,"Salguero, Jeronimo Y Rivadavia Av.",comuna 5,Point (103997.04813615 102012.34139150),-58.41971993,-34.6111224,Peaton-Pasajeros,Pasajeros
69,2016-0092,1,2016-07-15,11,Av Gral Paz Y Av Libertador,Gral Paz,"Paz, Gral. Av.",Del Libertador Av.,"Paz, Gral. Av. Y Del Libertador Av.",comuna 13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,Moto-Cargas,Cargas
70,2016-0093,1,2016-07-17,3,Av Juan B Alberdi Y Emilio Mitre,Avenida,"Alberdi, Juan Bautista Av.","Mitre, Emilio","Alberdi, Juan Bautista Av. Y Mitre, Emilio",comuna 6,Point (101804.61714036 100693.45218194),-58.44362126,-34.62301748,Auto-Auto,Auto
71,2016-0095,1,2016-07-23,6,Mercedes Y Av Gral Mosconi,Avenida,Mercedes,Mosconi General Av.,Mercedes Y Mosconi General Av.,comuna 11,Point (95061.77375682 103748.74085597),-58.51713095,-34.59546519,Moto-Auto,Auto
72,2016-0096,1,2016-07-25,7,"Autopista Dellepiane Luis Tte. Gral. Km. 2,3",Autopista,Autopista Dellepiane Luis Tte. Gral.,Sd,Autopista Dellepiane Luis Tte. Gral.,comuna 8,Point (. .),-58.47433193007387,-34.66684950051973,Moto-Cargas,Cargas
73,2016-0097,1,2016-07-26,18,Solis Y Mexico,Calle,Solis,Mexico,Solis Y Mexico,comuna 1,Point (106687.13301820 101510.97040757),-58.39038605,-34.6156281,Peaton-Auto,Auto
74,2016-0098,1,2016-07-27,16,Av San Juan Y Alberti,Avenida,San Juan Av.,Alberti,San Juan Av. Y Alberti,comuna 3,Point (105765.97394356 100631.47718024),-58.40042405,-34.62356174,Moto-Cargas,Cargas
75,2016-0099,1,2016-07-29,16,Av Gral Mosconi Y Av Gral Paz,Gral Paz,Mosconi General Av.,"Paz, Gral. Av.","Mosconi General Av. Y Paz, Gral. Av.",comuna 11,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,Cargas-Cargas,Cargas
76,2016-0100,1,2016-08-03,23,Av Gral Paz  Y Donado,Gral Paz,"Paz, Gral. Av.",Donado,"Paz, Gral. Av. Y Donado",comuna 12,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,Moto-Objeto Fijo,Objeto Fijo
77,2016-0101,1,2016-08-07,19,Av Gral Paz Y Jorge Chavez,Gral Paz,"Paz, Gral. Av.","Chavez, Jorge","Paz, Gral. Av. Y Chavez, Jorge",comuna 9,Point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,Sd-Sd,Sd
78,2016-0102,1,2016-08-10,23,Av Eva Peron Y Jose Leon Suarez,Avenida,"Peron, Eva Av.","Suarez, Jose Leon","Peron, Eva Av. Y Suarez, Jose Leon",comuna 9,Point (96625.80612216 95129.90776954),-58.50011639,-34.67316502,Moto-Cargas,Cargas
79,2016-0104,1,2016-08-14,21,Zinny Y Av Santiago De Compostela,Avenida,Zinny,Santiago De Compostela Av.,Zinny Y Santiago De Compostela Av.,comuna 9,Point (99720.41444035 97007.69579491),-58.46635001,-34.65624369,Moto-Pasajeros,Pasajeros
80,2016-0105,1,2016-08-17,0,Av Federico Lacroze Y Fraga,Avenida,"Lacroze, Federico Av.",Fraga,"Lacroze, Federico Av. Y Fraga",comuna 15,Point (100905.28580812 104982.19279501),-58.45343236,-34.58435809,Peaton-Pasajeros,Pasajeros
81,2016-0106,1,2016-08-19,21,Carlos Pellegrini Y Av Del Libertador,Avenida,"Pellegrini, Carlos",Del Libertador Av.,"Pellegrini, Carlos Y Del Libertador Av.",comuna 1,Point (107558.64146875 104433.48706482),-58.38090932,-34.58927731,Peaton-Pasajeros,Pasajeros
82,2016-0107,1,2016-08-20,8,Autopista 9 De Julio Sur Alt Av Mendoza,Autopista,Autopista 1 Sur Presidente Arturo Frondizi,Sd,Autopista 1 Sur Presidente Arturo Frondizi Y Don Pedro De Mendoza Av.,comuna 4,Point (108408.31858686 97219.56218484),-58.37157668,-34.65429986,Moto-Auto,Auto
83,2016-0109,1,2016-08-24,5,Autopista Perito Moreno Y Barragan,Autopista,Autopista Perito Moreno,Barragan,Autopista Perito Moreno Y Barragan,comuna 9,Point (94544.31344300 99185.28796442),-58.52280139,-34.63659934,Auto-Objeto Fijo,Objeto Fijo
